COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
150,Global Technology Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
151,Governance Verification Engineer,Akamai,4.1,Cambridge,"adjusting analysis to ongoing changing business needs and technologies. understanding key technology systems, interpreting requirements and articulating how…",30,2022-05-04,
152,Senior Robotics Engineer,Sea Machines,,Boston,"the candidate will work closely with the user interface team, system team, artificial intelligence team, and customer support team.",28,2022-05-04,Full-time
153,SE II - Front End (Remote Eligible),Smartsheet,3.9,Boston,evaluate new technologies to bring into our stack. 401k match to help you save for your future (50% of your contribution up to the first 6% of your eligible pay…,30,2022-05-04,
154,Customer Support Engineer - Aura,Neo4j,,Boston,"stay at the cutting edge of technology-enabled support, turning it into a competitive advantage for neo4j. strong understanding of system administration support…",30,2022-05-04,Full-time
155,Technical Support Engineer - 4 p.m. to Midnight EST Shift,Wasabi Technologies LLC,,Boston,wasabi’s technical support engineer will bring aws storage experience and will be part of our technical support team. travel is not regularly required.,30,2022-05-04,Full-time
156,Scrum master,Infosys,3.9,Providence,"you will help teams implement changes effectively, resolve conflicts & remove obstacles that occur. infosys is seeking a scrum master with excellent knowledge…",19,2022-05-04,
157,Agile Team Lead (Remote),Human Services Research Institute,4.0,Cambridge,"experience with web development technologies, including asp. the agile team lead will help create and deliver innovative, responsive software services and…",19,2022-05-04,Full-time
158,Technical Support Engineer- Remote,Splunk,4.2,Boston,provide documentation content and participate in online forum support for real-time questions from splunk users. experience in business intelligence a plus.,30,2022-05-04,Full-time
159,Transition Project Manager,CACI,3.8,Lexington,caci has an exciting opportunity for a transition project manager to support our customer to provide a common set of required eit services across 187 bases to…,1,2022-05-04,Full-time
160,Global Technology - IT Program Delivery Lead (Remote),PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",1,2022-05-04,
161,Technical Project Manager,Woodruff Sawyer,3.3,Boston,the project manager is responsible for managing multiple projects and supporting various business units across the organization. bs degree in related field.,4,2022-05-04,
162,Product Manager for Semiconductor Test Cybersecurity,Teradyne,4.1,North,"must have an understanding on network and security concepts, siem technologies. product manager – semiconductor test cybersecurity - (position can be remote).",9,2022-05-04,
163,Power System Engineer,ABB,3.9,Quincy,"abb's distribution solutions division provides utility, industrial and commercial customers with safe, smart and sustainable technologies for the distribution…",30,2022-05-04,Full-time
164,Principal Threat Response Analyst - Opportunity for Working...,VMware,4.1,Boston,"protection platform (epp) that prevents advanced threats, provides actionable insight, and enables. businesses of all sizes to simplify operations.",12,2022-05-04,Full-time
165,"Curriculum Engineering Manager, Curriculum Engineering","Amazon Web Services, Inc.",3.5,Boston,advanced knowledge of aws technologies. engage with other internal infrastructure teams and partners on building new technology to simplify training authoring…,30,2022-05-04,"$116,400 - $160,000 a year"
166,Business Implementation Consultant - Intellectual Property,Anaqua,,Boston,training client users on the anaqua product features and workflows. critical thinking: able to evaluate information gathered from multiple sources and…,1,2022-05-04,Full-time
167,Senior Product Manager (remote),Ad Hoc Team,5.0,Boston,"our product managers work closely with partners and cross-functional teams to build the right things, in the right way at all stages of the product life cycle.",13,2022-05-04,
168,Product Strategy Manager - (US Remote),Humanity,4.2,Boston,"this role provides critical insights to shape product vision, define strategic questions and priorities for our products across the portfolio, ensure cross…",7,2022-05-04,Full-time
169,US Technology Applications Developer,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",10,2022-05-04,
170,Content Management System Administrator - Remote,Allscripts,3.6,Boston,"maintain publishing tools (dita open toolkit plugins for required outputs: pdf, online help, hover help, and other formats as needed) using xslt, xslt-fo, ant,…",6,2022-05-04,
171,Sr Engineer,Dawn Foods,3.5,Boston,"experience must include design technology; working with ecommerce platforms, cloud providers and content management systems; and utilizing application…",30,2022-05-04,
172,Remote Senior Applications Analyst - Yardi,Beacon Communities LLC,3.5,Boston,"responsible for managing yardi help desk tickets which includes prioritization, escalation, and coordination with yardi corporate support and 3rd party…",30,2022-05-04,Full-time
173,Cloud Strategy & IT Operating Model- Experienced Associate,PRICE WATERHOUSE COOPERS,4.0,Boston,"we focus on building technology enabled and agile operating models, planning their new enterprise architecture into a differentiating capability system that…",1,2022-05-04,
174,"Integrations Engineer-Architect, Vice President",State Street,3.5,Quincy,communicate relevant and timely information to senior stakeholders for purposes of governance and risk mitigation. what you will be responsible for.,30,2022-05-04,Full-time
175,Workday Integrations Analyst,Toast,3.6,Boston,"ability to digest and communicate complex information to non-technical audiences. enthusiasm for learning new technology, and a love of process improvement and…",21,2022-05-04,
176,Information Security Forensic Analyst - REMOTE,Ryder System,3.3,Boston,"the forensic analyst will leverage security technologies and industry best practices to manage information security incidents, investigations, and related…",30,2022-05-04,
177,Associate Business Architect - HR Technology,avidxchange,3.5,Boston,researches and provides information on industry & technology trends and competitors’ practices relevant to assigned lob customer and/or capabilities.,30,2022-05-04,Full-time
178,IT Service Desk Lead,Constant Contact,3.7,Waltham,5+ years of experience in a related service desk/technology environment. this role will involve the development and implementation of world class standards for…,30,2022-05-04,
179,"Senior Manager, Engineering - Remote",Cogito Corporation,,Boston,"cogito embraces an office optional workspace where cogicians can work remotely, in office or a hybrid of the two. this includes onshore and offshore teams.",30,2022-05-04,Full-time
180,Senior Academic Advisor for Student Success - School of Engi...,The Trustees of Tufts College,,Medford,"we are responsible for the engineering related components of helping new students transition to the school of engineering at tufts, including events during…",17,2022-05-04,
181,Senior Academic Advisor for Student Success - School of Engi...,The Trustees of Tufts College,,Medford,"we are responsible for the engineering related components of helping new students transition to the school of engineering at tufts, including events during…",17,2022-05-04,
182,"Information Architect, Enterprise Information Management - R...",Xylem,3.4,Boston,"supports governance process, standard and policies for data and information. demonstrate deep knowledge of a wide variety of technology disciplines.",30,2022-05-04,"$130,000 - $150,000 a year"
183,Customer Success Director,Mendix,4.2,Boston,passion for continuously learning new technologies and being able to provide value to the customer. strong technical foundation and ability to explain with…,30,2022-05-04,Full-time
184,Digital Business Systems Analyst (Remote),Epsilon,3.4,Wakefield,supporting production staff and client end users in the use of the overall client solution with a focus on relational database and batch processing and…,30,2022-05-04,Full-time
185,"Engineering Manager, Insights",Salsify,4.4,Boston,"experience working on analytics technology or data applications, e.g. data pipelines, visualization, reporting, etc. the roadmap execution of the team.",26,2022-05-04,Full-time
186,PwC Technology - Documentation Specialist Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"researching and translating technical information into manuals and/or web-based documents for non-technical and technical users; and,.",4,2022-05-04,
187,"Research Director, Technology Skills Research","International Data Group, Inc.",,Needham,"10+ years of pertinent technology industry experience as an industry analyst, product manager, journalist, or other related roles such as training and…",30,2022-05-04,Full-time
188,"Product Manager, Payroll Operations",Toast,3.6,Boston,"as a product manager, you will collaborate cross-functionally with product design, engineering, product marketing, sales, customer onboarding, and customer…",21,2022-05-04,
189,Software Implementation Specialist,Veruna,,Hopkinton,"extensive technical knowledge – in order to be able to meet each client's needs and install each system correctly, implementation specialists need to have a…",30,2022-05-04,Full-time
190,"Senior Motion Planning Engineer - Control, Trajectory Optimi...",Motional,,Boston,"in this role you'll perform research, develop algorithms, and build software to generate safe, comfortable, and intuitive routes and motions.",1,2022-05-04,"$172,020 a year"
191,Product Manager II - BCDR,Datto Jobs,,Boston,"as the product manager, you will be directly responsible for driving innovation within datto's flagship unified continuity line of business.",14,2022-05-04,
192,Product Manager,Inovalon,3.1,Boston,provide training and documentation for relevant areas for internal and external users; experience leading meetings and presenting information to senior…,8,2022-05-04,
193,Application Analyst (Remote Position),Steward Health Care,2.7,Dedham,responsible for supporting the meditech cws/reg/abs/him/reg/arm and cm applications as well as the empi (enterprise master patient index) tool across the…,13,2022-05-04,Full-time
194,"Sr. Manager, Sales Product Analytics",Wayfair,3.0,Boston,"sales analytics is a new team focused on understanding, experimenting, and optimizing user interactions with our sales technology products, tools, and…",1,2022-05-04,
195,PwC Technology - Finance Process Lead & Service Owner,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",1,2022-05-04,
196,Staff Computer Vision & Analytics Engineer,Baker Hughes,4.0,Billerica,"experience with delivery of analytics driven information solutions / saas. be conversant with python, deep learning frameworks, databases, and other cloud…",30,2022-05-04,Full-time
197,"Sr. Director, Engineering",SmartBear,3.3,Somerville,"knowledge and experience with public and private cloud technologies. our senior director of engineering will lead, coach, grow and support highly productive…",20,2022-05-04,
198,Configuration & Change Management Analyst,Northeastern University,4.2,Boston,the configuration and change management analyst is part of the service management and it operations department within the information technology services…,22,2022-05-04,Full-time
199,Oracle Applications Technical Lead (Remote),Peloton Group,3.4,Boston,provide guidance and advice to technical developers to help them improve their technical and professional skills. report development expertise in otbi and bip.,1,2022-05-04,Full-time
200,"Vice President, Analytics and Insights",Goodway Group,4.0,Boston,"ensures the immediate team is at the forefront of the intersection of digital advertising/marketing, advertising technology, business intelligence, and data…",30,2022-05-04,
201,Customer Reliability Engineer,Nobl9,,Boston,you will create strong relationships with customers and help them achieve their reliability goals while implementing nobl9.,30,2022-05-04,
202,Performance Testing Specialist,Geologics Corporation,4.0,Nashua,"6+ month w2 hourly contract. a bachelors in cs and 3 years of experience (or 4 years with an aa, 5 years with hsd).",2,2022-05-04,$27.45 - $37.25 an hour
203,Risk Management Framework Specialist - REMOTE,Deloitte,4.0,Boston,ability to provide clients with strategic direction to help them improve risk management processes/procedures. manage migration process of application data.,30,2022-05-04,Full-time
204,Technical Manager (Experiences),Tripadvisor,3.9,Needham,mentor software engineers to help them develop their software design and development skills. work with everyone from engineers to product owners to c-level…,20,2022-05-04,
205,Product Management Director- Pharmacy/PBM (Remote),Anthem,3.6,Boston,"partners with product managers and project team to achieve superior execution of product strategy in the marketplace, including serving as the liaison between…",15,2022-05-04,Full-time
206,Architect Chief - Remote,Akamai,4.1,Cambridge,providing technical guidance to peers on best practices and the latest technology trends. we partner with product teams and executives to develop systematic…,30,2022-05-04,
207,Strategic Missions Systems Engineer(Hybrid/Remote),Draper,3.9,Cambridge,"draper supports many programs to improve work-life balance including workplace flexibility, employee clubs ranging from photography to yoga, health and finance…",30,2022-05-04,
208,"Senior HRIS Analyst, Opportunity for Remote",Tufts Medicine,3.0,Burlington,"responsible for quality assurance, accuracy, efficiency, and integrity of the information maintained in the hr systems.",12,2022-05-04,Full-time
209,Endpoint Management Administrator,The Hanover Insurance Group,3.7,Worcester,"experience using imaging technologies such as microsoft endpoint manager, vmware vcenter, vmware horizon, windows autopilot and mdt. 401k with a company match.",12,2022-05-04,Full-time
210,Vice President of Customer Success (Ed-Tech/SaaS) - Remote,Ellucian,3.4,Boston,401k & bright plan - to help you save for the future. this position reports directly to our svp of customer experience & operations and will manage a team 40+…,30,2022-05-04,Full-time
211,Technical Coordinator,Human Services Research Institute,4.0,Cambridge,the data systems we develop give stakeholders the insights they need to assess and address disparities in healthcare and well-being and to help produce…,30,2022-05-04,Full-time
212,Systems Analyst I (Remote),CONTRIBUTOR DEVELOPMENT PARTNERSHIP,,Boston,"ability to incorporate technology into business operations. create, maintain, document, and troubleshoot new and existing redpoint dm projects and automations.",30,2022-05-04,Full-time
213,NIS- Red Team Engineer,PRICE WATERHOUSE COOPERS,4.0,Boston,"demonstrating high level understanding of the principles of information security engineering, architecture, and application security; and,.",25,2022-05-04,
214,Senior Business Systems Analyst (remote),Pearson,3.7,Boston,"ability to quickly learn technical concepts and new technology, and to recommend solutions and alternatives. strong understanding of technology concepts, tools…",30,2022-05-04,
215,"Technical Lead, Vice President (Remote)",State Street,3.5,Quincy,"you’ll have access to flexible work program to help you match your needs. demonstrate understanding of one or more of the following csps (azure, aws, google…",27,2022-05-04,Full-time
216,Application Analyst (Remote Position),Steward Health Care,2.7,Dedham,responsible for supporting the meditech cws/reg/abs/him/reg/arm and cm applications as well as the empi (enterprise master patient index) tool across the…,13,2022-05-04,Full-time
217,IT Software Distribution Spec,The Trustees of Tufts College,,Somerville,"the it software distribution specialist is responsible for managing distribution, managing license files, and handling requests of desktop/client software…",26,2022-05-04,
218,Architect Chief - Remote,Akamai,4.1,Cambridge,providing technical guidance to peers on best practices and the latest technology trends. we partner with product teams and executives to develop systematic…,30,2022-05-04,
219,Information Security Forensic Analyst - REMOTE,Ryder System,3.3,Boston,"the forensic analyst will leverage security technologies and industry best practices to manage information security incidents, investigations, and related…",30,2022-05-04,
220,NGD Technical Project Manager Sr,Anthem,3.6,Hingham,"the technical project manager sr works independently with business partners to identify and implement medium to large technical projects, as defined by company…",30,2022-05-04,Full-time
221,ITMS Program Manager VI,Mass Dept of Transportation,3.8,Boston,facilitates the itms program via the tracking and exchange of information; leads & coordinates weekly monthly and quarterly meetings of stake holders and…,25,2022-05-04,"$41,017 - $115,000 a year"
222,Product Manager - Remote Patient Monitoring,eClinicalWorks,3.3,Westborough,"5 years of experience in the software or health care information technology fields is preferred. draw insights and inspiration from research, direct/indirect…",4,2022-05-04,Full-time
223,US Technology Tech Lead,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
224,Technical Program Manager II - Remote,Akamai,4.1,Cambridge,develop and maintain akamai's industry-leading products that are an integral part of a globally distributed network that deliver content for major customers and…,17,2022-05-04,
225,"Associate Director, Global Applied Digital Innovation",Alnylam,4.4,Cambridge,"keep an eye on what’s next and introduce tools, services and partners that will help commercial and med affairs teams to better engage digitally.",30,2022-05-04,Full-time
226,Cloud Engineer - Remote,Zapata Computing,,Boston,"experience with container technologies such as kubernetes, docker. we help educate on security best practices and helping everyone find the best components for…",7,2022-05-04,Full-time
227,"Consultant, Multi Cloud, Worldwide Consulting Centers - Oppo...",VMware,4.1,Boston,vmware professional services is committed to offering a collaborative and supportive working environment with a full enablement plan and the opportunity to…,30,2022-05-04,Full-time
228,Senior Product Manager - REMOTE,Buildium,4.8,Boston,"proven expertise leading cross-functional teams that together launch on-time and on-budget with desktop, web or mobile software product offerings.",1,2022-05-04,Full-time
229,PwC Technology - Salesforce Functional Analyst,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",4,2022-05-04,
230,Security Operations Engineer,"Agio, Inc.",,Boston,"3+ years' experience in technology (security, networking, systems, etc.). agio offers technology hosting, monitoring, management, helpdesk, disaster prevention…",28,2022-05-04,Full-time
231,Systems Administrator III - IT Consolidated,Tufts Medical Center,3.8,Boston,proactively learns new technologies to resolve any problems involved in integrating the new technologies with current systems. expert in vmware 6.x.,30,2022-05-04,Full-time
232,Enterprise System Support Specialist,Alexander Technology Group,3.6,Boston,rate: hourly rate flexible based on experience. alexander technology group is searching for a enterprise system support specialist to work with our management…,7,2022-05-04,Contract
233,"Senior Manager, Technical Support",EDB,3.6,Boston,"previous experience in delivery of complex technology to enterprise customers. strong practical knowledge of current technology and trends including, but not…",29,2022-05-04,
234,Systems Analyst,Geologics Corporation,4.0,Hudson,"project involvement will include application development, software upgrades, new application installation, integrating systems, troubleshooting, and performance…",26,2022-05-04,$56 - $74 an hour
235,Data Product Manager,Lamps Plus,3.3,Boston,"this will be accomplished by analyzing large data sets, crafting data models, writing and proposing new formulas, and championing the implementation of new…",13,2022-05-04,Full-time
236,Technical Consultant (FieldFX),ServiceMax,3.5,Boston,"as the recognized leader in this space, servicemax's mobile apps and cloud-based software provide a complete view of assets to field service teams.",20,2022-05-04,
237,Identity and Access Management Specialist,Deloitte,4.0,Boston,"develop and support security application using cots iam technologies. support clients with data protection, iot, and overarching cloud capabilities.",30,2022-05-04,Full-time
238,Heat Pump Product Manager,Dandelion Energy,,Boston,"this person's past experience should demonstrate she or he is adept at defining market requirements, including evaluating the competitive landscape,…",25,2022-05-04,
239,IT Compliance Analyst,"Arrow Electronics, Inc.",3.5,Londonderry,helps facilitate and regularly update the information technology policies and procedures related to certification standards.,1,2022-05-04,Full-time
240,Reliability Researcher II,Akamai,4.1,Cambridge,participating in formal reviews and performing analysis of systems and processes for potential resiliency issues. be able to apply system thinking.,30,2022-05-04,
241,IAM Bootcamp Solution Consultant- Remote/Delivery Center Rol...,Deloitte,4.0,Boston,"facilitate the use of technology-based tools or methodologies to review, design and/or implement products and services.",19,2022-05-04,Full-time
242,"Vice President, Global Customer Support",Transmit Security,,Boston,"at least 10 years of experience demonstrating management and leadership experience, preferably in a leadership role of professional services environment; strong…",30,2022-05-04,
243,Customer Engineer,Akoya,,Boston,"cloud technology experience, preferably aws – a plus. learning and adopting new concepts and technologies quickly and implement them effectively.",30,2022-05-04,
244,Principal Product Manager - CASB and Platform,Lookout,4.0,Boston,partner externally: drive technology partnerships & integrations with other enterprise security vendors. product managers are the core of the company's product…,30,2022-05-04,
245,Cloud Operations Engineer,IMP Implementation Management Professionals,,Boston,you will help us continue to deploy existing applications and support new and innovative tools and solutions to help deliver our consulting projects on time and…,30,2022-05-04,
246,ISSO Specialist,Aquila,3.3,Lexington,"lead and align information technology (it) security priorities with the security strategy. provide technical documents, incident reports, findings from computer…",30,2022-05-04,
247,"Product Manager, Reagents",Akoya Biosciences,4.5,Marlborough,"product vision – analyze market segments, customer, and competitive conditions, and identify emerging scientific trends and technologies for the purpose of…",5,2022-05-04,Full-time
248,Application Security Engineer II,Payscale,3.5,Boston,"strengths based tools designed to help employees engage with peers and managers, supported through a program called standout.",2,2022-05-04,Full-time
249,Salesforce Developer,Chenega Corporation,3.6,Natick,"the salesforce developer will provide expertise to a cross-functional agile development team developing custom objects, page layouts, and record-types to…",15,2022-05-04,Full-time
250,IS Integration Engineer,Dana-Farber Cancer Institute,4.1,Boston,"7 years of related integration experience, including experience with healthcare information systems. ability to troubleshoot, diagnose and accurately document…",30,2022-05-04,Full-time
251,"Associate Director, Application Support - R&D and Quality","Radius Health, Inc.",4.5,Boston,prepares and owns the knowledge articles and collaborate with servicedesk to ensure they have latest information.,30,2022-05-04,Full-time
252,Clinical Applications Analyst,Shields Health Care Group,3.4,Woburn,bachelor's degree in related healthcare discipline or information systems discipline preferred. reporting in a line capacity to the clinical applications it…,5,2022-05-04,
253,"Enterprise SaaS Project Manager, Sell-side",Agiloft,,Boston,"you will lead the planning, design, implementation, and testing of complex projects that typically affect thousands of client users.",10,2022-05-04,
254,Technical Project Coordinator,ABclonal Technology,,Boston,"with a thorough understanding of needs for life science research, we offer clients custom-made proteins, antibodies, and peptides with high specificity,…",5,2022-05-04,Up to $20 an hour
255,"Cloud Solutions Architect, Project Manager IT",Technical Support International Inc,5.0,Boston,"strong understanding of cloud technology (azure, office 365) with a broad understanding of infrastructure and azure technologies.",5,2022-05-04,"$82,000 - $115,000 a year"
256,Research Project Manager - Breast Oncology (CTO),Dana-Farber Cancer Institute,4.1,Brookline,the research project manager (rpm) is responsible for assigned day-to-day coordination and overall management of sponsor activities for assigned clinical trials…,7,2022-05-04,Full-time
257,Remote HR IT Business Analyst (Workday exp. required),Cumulus Media,3.4,Boston,"the purpose of the hr it business analyst position is to provide it support and solutions for the hr, benefits and payroll departments.",13,2022-05-04,Full-time
258,Microsoft Identity and Security Architect,Cognizant Microsoft Business Group,,Boston,"as a member of the delivery team, you will help lead our customers on their cloud transformation journey by taking advantage of microsoft-based security,…",30,2022-05-04,
259,Lead Engineer – Identity and Access Management,Federal Reserve Bank of Boston,4.3,Boston,"with a solid foundation in directory services, identity and access management and security, you can help move the fed forward.",30,2022-05-04,Full-time
260,PwC Tech Security and Compliance Engineer,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
261,Technical Support Engineer,Contrast Security,,Boston,provide technical assistance to other groups and partners when they need help. the person in this role will build strong long-term relationships with a customer…,25,2022-05-04,Full-time
262,PwC Technology - Project Manager - Master and Reference Data,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",10,2022-05-04,
263,Network Engineer,"Arrow Electronics, Inc.",3.5,Londonderry,"with solid industry experience, be able to make recommendations on select services for end users. supervising the administration of systems and servers related…",1,2022-05-04,Full-time
264,Remote - Cloud Software Architect - Up to $150k + bonus/equi...,Michael Page,3.5,Boston,"collaborate with teams to support business needs. build, maintain, and improve upon product releases in a secure manner.",21,2022-05-04,"$130,000 - $150,000 a year"
265,"Associate Director, IT Business Partner – GxP Systems","Nuvalent, Inc.",,Cambridge,bachelor or advanced degree in information technology/business solutions or equivalent work experience is required. masters degree is a plus.,30,2022-05-04,
266,"Vice President, Product Operations (US Based)",D2L,3.0,Boston,"successful track record driving product operations for global, high-growth technology markets. the incumbent should be a seasoned operational leader within a…",30,2022-05-04,
267,"Project Manager, Software Implementation (Remote Opportunity...",Bright Horizons Family Solutions,3.5,Newton,"requires project management, consulting, technology, process improvement, negotiation, and strong communication skills.",27,2022-05-04,"$80,000 - $85,000 a year"
268,Trade Automation Systems Analyst (Hybrid or Remote),Teledyne FLIR,2.3,Billerica,"strong writing and editing skills, particularly in the areas of synthesizing information and tailoring the presentation of information to different audiences.",6,2022-05-04,Full-time
269,Program Manager,Breezeline,,Quincy,demonstrated success launching enterprise technology solutions on-time and partnering with cross-functional teams to achieve business goals.,30,2022-05-04,Full-time
270,"Senior Engineering Manager, Analytics Engineering",Indigo,4.0,Boston,"having experience with data warehouse technologies is a must; snowflake is a big plus. create opportunities for team skill development & career progression,…",5,2022-05-04,
271,Ecommerce Dev Ops Support Engineer (Remote),Talbots,3.7,Hingham,"perform end to end pocs to help evaluate new tools and technologies to improve site performance, site functionality, and site security.",30,2022-05-04,Full-time
272,IT Applications Analyst,42 North Dental,2.9,Waltham,"this will include ongoing training of new staff and availability of self-help materials. should have strong technology skills, including microsoft excel and…",30,2022-05-04,Full-time
273,Systems Integration Engineer II,Recruiting From Scratch,,Boston,"intimate knowledge of the pc/server market and system technologies, including intel/amd cpus, motherboards, nvidia gpus, storage, power supplies.",28,2022-05-04,"$125,000 - $175,000 a year"
274,Senior Technical Program Manager - AI/ML,PathAI,,Boston,we're looking for an experienced program manager to join our team and help support the execution of pathai's product initiatives.,1,2022-05-04,
275,Sr Director Platform Integrations and Partnerships,Houghton Mifflin Harcourt,3.5,Boston,"your solutions will be lean, scalable, extensible, and require minimal technical understanding by end-users. location: remote (us) - this position offers remote…",12,2022-05-04,"$144,000 - $180,000 a year"
276,Workday HCM Analyst - Remote,Axcelis Technologies Inc.,,Beverly,work closely with it and u.s. payroll to manage numerous integration files and troubleshoot/resolve issues when needed. manage sox audits related to hcm.,19,2022-05-04,Full-time
277,Product Manager (Remote),SentinelOne,3.6,Boston,sentinelone is looking for a product manager to support singularity mobile within the xdr product management organization. experience in agile is a plus.,30,2022-05-04,
278,Remote - Cloud Software Architect - Up to $150k + bonus/equi...,Michael Page,3.5,Boston,"collaborate with teams to support business needs. build, maintain, and improve upon product releases in a secure manner.",21,2022-05-04,"$130,000 - $150,000 a year"
279,Systems Engineer,Massachusetts General Hospital(MGH),4.3,Boston,"working knowledge/experience in enterprise network technologies – a strong plus. takes responsibility for the security of medical, financial, and other…",30,2022-05-04,Full-time
280,Applications Engineer,ChargePoint,3.4,Boston,"develop technical content and application examples using chargepoint technology and third-party systems. director, software product management, b2b and b2c.",1,2022-05-04,
281,Digital Project Manager,Velir,4.0,Boston,"experience with cms (sitecore, adobe aem, drupal) and web technologies a plus. please note: to be considered for this role, candidates need to have experience…",30,2022-05-04,Full-time
282,SAP MM Functional Analyst (fully remote available) Job,Boston Scientific Corporation,3.9,Marlborough,demonstrate technical leadership by staying current on new technologies. sap mm functional analyst (fully remote available) job.,12,2022-05-04,
283,"Cybersecurity - ServiceNow - Business Analyst, Associate",PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. has knowledge of javascript, angularjs, html, css, jelly or similar web technologies;",30,2022-05-04,
284,Senior Product Manager,Drift,4.4,Boston,drift is the revenue acceleration platform that uses conversational marketing and conversational sales to help companies grow revenue and increase customer…,13,2022-05-04,
285,Project Manager - eCOA,Clario,3.5,Boston,"the project manager role is responsible for directing and managing services for client projects to assure high quality, on-time, and on-budget services while…",30,2022-05-04,Full-time
286,Project Manager - eCOA,Clario,3.5,Boston,"the project manager role is responsible for directing and managing services for client projects to assure high quality, on-time, and on-budget services while…",30,2022-05-04,Full-time
287,PRODUCT OWNER REMOTE,Palco,3.4,Boston,"research and analyze market, users, and the roadmap for the product; implement usability tools and behavior analysis to ensure customer-centricity.",12,2022-05-04,Full-time
288,Project Manager,Biofourmis,,Boston,"bachelor's degree in business, healthcare, information technology or related industry. our talented team features numerous phd's in data science and…",30,2022-05-04,
289,HRIS Integrations Analyst,Toast,3.6,Boston,"ability to digest and communicate complex information to non-technical audiences. enthusiasm for learning new technology, and a love of process improvement and…",30,2022-05-04,
290,Implementation Consultant,TargetX,4.4,Watertown,"make every student a graduate, and every graduate a success. we are looking for an implementation consultant with salesforce experience and the technical…",30,2022-05-04,Full-time
291,"Manager, IT Business Analyst, Commercial and Medical Affairs",Spero Therapeutics,,Cambridge,"overview: as the commercial and medical affairs it business analyst, you'll need to develop a deep understanding of the business areas and associated platforms…",30,2022-05-04,Full-time
292,Splunk Administrator - Remote Opportunity,UniFirst,3.2,Wilmington,"good understanding with virtualization technologies (hypervisor, vmware, etc). the splunk administrator will report to the itocc manager to support the…",21,2022-05-04,Full-time
293,Salesforce.com Project Manager - Remote,Eagle Creek Software Services,2.5,Boston,"plan all aspects of project from initial team size, resources required for on-site and off-site from initial phase through implementation and support.",30,2022-05-04,Full-time
294,Data Configuration Manager (Secret Clearance Required) - Rem...,ADM,3.5,Boston,"adm is seeking a data and configuration manager to support cdrls, baselines, and assets/licenses on a dod usaf contract . manage and control product baselines.",30,2022-05-04,Full-time
295,CRM Manager,Curaleaf,2.2,Wakefield,"this role will have a voice in technology selection, program strategy development, financial analysis, and communication strategy.",30,2022-05-04,
296,Sr. IT Contract Manager,Blue Cross Blue Shield of Massachusetts,4.0,Boston,"as a senior it contract manager at blue cross, your responsibility is to manage procurement activities aligned to your business area within the it organization.",30,2022-05-04,Full-time
297,Solutions Engineer,Recruiting From Scratch,,Boston,"as a solutions engineer, you will work closely with our customers and help them build solutions using our client’s revolutionary technology and provide guidance…",30,2022-05-04,"$150,000 - $220,000 a year"
298,QA Compliance Manager,Red Nucleus,4.3,Waltham,must be proficient in microsoft office and technology management software. solid understanding of computer systems compliance to fda and other government…,14,2022-05-04,Full-time
299,Director of Product Management,"Definitive Healthcare, LLC",4.1,Framingham,this role will help lead product delivery for developing web and mobile products that delight users and drive measurable user and business outcomes.,30,2022-05-04,
300,"Technical Product Owner - Telecommute in Waltham, MA",Optum,3.4,Waltham,the product owner contributes to the success of navihealth by maximizing the output of the engineering teams within an agile framework.,6,2022-05-04,Full-time
301,"Implementation Project Manager (Cork, Ireland)",ProcessUnity,4.0,Concord,apply understanding of requirements and technology to ensure alignment between customer objectives and system capabilities.,30,2022-05-04,
302,Product Strategy Manager - (US Remote),"Turnitin, LLC",3.5,Boston,"this role provides critical insights to shape product vision, define strategic questions and priorities for our products across the portfolio, ensure cross…",30,2022-05-04,Full-time
303,Principal Product Manager,Owl Labs,,Boston,"high level understanding of the video communication technologies such as webrtc, rtp. your influence will span across the product, software engineering and…",30,2022-05-04,
